SiteId,Month,number_of_holidays
1,2014-01,2
1,2014-02,1
1,2014-05,1
1,2014-07,1
1,2014-09,1
1,2014-11,4
1,2014-12,3
1,2015-01,2
1,2015-02,1
1,2015-05,1
1,2015-07,2
1,2015-09,1
1,2015-11,3
1,2015-12,3
1,2016-01,2
1,2016-02,1
1,2016-05,1
1,2016-07,1
1,2016-09,1
1,2016-11,4
1,2016-12,6
1,2017-01,3
1,2017-02,1
1,2017-05,1
1,2017-07,1
1,2017-09,1
1,2017-11,4
1,2017-12,8
1,2018-01,1
12,2016-01,2
12,2016-02,1
12,2016-03,1
12,2016-05,1
12,2016-07,1
12,2016-09,1
12,2016-11,3
12,2016-12,2
12,2017-01,3
12,2017-02,1
12,2017-03,1
12,2017-05,1
12,2017-07,1
12,2017-09,1
12,2017-11,4
12,2017-12,1
13,2014-01,2
13,2014-02,1
13,2014-04,1
13,2014-05,1
13,2014-06,1
13,2014-07,1
13,2014-09,1
13,2014-10,1
13,2014-11,2
13,2014-12,1
13,2015-01,2
13,2015-02,1
13,2015-04,1
13,2015-05,1
13,2015-06,1
13,2015-07,2
13,2015-09,1
13,2015-10,1
13,2015-11,2
13,2015-12,1
13,2016-01,2
13,2016-02,1
13,2016-04,1
13,2016-05,1
13,2016-06,1
13,2016-07,1
13,2016-09,1
13,2016-10,1
13,2016-11,2
13,2016-12,2
13,2017-01,3
13,2017-02,1
13,2017-04,1
13,2017-05,1
13,2017-06,1
13,2017-07,1
13,2017-09,1
13,2017-10,1
13,2017-11,3
13,2017-12,1
14,2014-01,2
14,2014-04,1
14,2014-05,2
14,2014-07,1
14,2014-09,1
14,2014-10,1
14,2014-11,4
14,2014-12,2
14,2015-01,2
14,2015-04,1
14,2015-05,1
14,2015-07,2
14,2015-09,1
14,2015-10,1
14,2015-11,3
14,2015-12,2
14,2016-01,2
14,2016-03,1
14,2016-05,2
14,2016-07,1
14,2016-09,1
14,2016-10,1
14,2016-11,4
14,2016-12,3
14,2017-01,3
14,2017-04,1
14,2017-05,1
14,2017-07,1
14,2017-09,1
14,2017-10,1
14,2017-11,4
14,2017-12,2
15,2014-01,2
15,2014-02,1
15,2014-05,1
15,2014-06,1
15,2014-07,1
15,2014-09,1
15,2014-10,1
15,2014-11,4
15,2014-12,1
15,2015-01,2
15,2015-02,1
15,2015-05,1
15,2015-06,2
15,2015-07,2
15,2015-09,1
15,2015-10,1
15,2015-11,3
15,2015-12,1
15,2016-01,2
15,2016-02,1
15,2016-05,1
15,2016-06,1
15,2016-07,1
15,2016-09,1
15,2016-10,1
15,2016-11,4
15,2016-12,2
16,2014-01,4
16,2014-02,1
16,2014-03,2
16,2014-04,1
16,2014-05,1
16,2014-06,1
16,2014-07,1
16,2014-08,1
16,2014-09,1
16,2014-11,3
16,2014-12,3
16,2015-01,3
16,2015-02,1
16,2015-03,1
16,2015-04,1
16,2015-05,1
16,2015-06,1
16,2015-07,2
16,2015-08,1
16,2015-09,1
16,2015-11,3
16,2015-12,4
16,2016-01,3
16,2016-02,1
16,2016-03,1
16,2016-04,1
16,2016-05,1
16,2016-06,2
16,2016-07,1
16,2016-08,2
16,2016-09,1
16,2016-11,3
16,2016-12,5
16,2017-01,4
16,2017-02,1
16,2017-03,1
16,2017-04,1
16,2017-05,1
16,2017-06,1
16,2017-07,1
16,2017-08,2
16,2017-09,1
16,2017-11,4
16,2017-12,6
17,2014-01,2
17,2014-02,1
17,2014-03,1
17,2014-04,1
17,2014-05,1
17,2014-07,1
17,2014-09,1
17,2014-11,3
17,2014-12,1
17,2015-01,2
17,2015-02,2
17,2015-04,1
17,2015-05,1
17,2015-07,2
17,2015-09,1
17,2015-11,2
17,2015-12,1
17,2016-01,2
17,2016-02,2
17,2016-03,1
17,2016-05,1
17,2016-07,1
17,2016-09,1
17,2016-11,3
17,2016-12,2
17,2017-01,3
17,2017-02,2
17,2017-04,1
17,2017-05,1
17,2017-07,1
17,2017-09,1
17,2017-11,3
17,2017-12,1
18,2014-01,2
18,2014-02,1
18,2014-03,1
18,2014-04,1
18,2014-05,1
18,2014-07,1
18,2014-09,1
18,2014-11,3
18,2014-12,1
18,2015-01,2
18,2015-02,2
18,2015-04,1
18,2015-05,1
18,2015-07,2
18,2015-09,1
18,2015-11,2
18,2015-12,1
18,2016-01,2
18,2016-02,2
18,2016-03,1
18,2016-05,1
18,2016-07,1
18,2016-09,1
18,2016-11,3
18,2016-12,2
18,2017-01,3
18,2017-02,2
18,2017-04,1
18,2017-05,1
18,2017-07,1
18,2017-09,1
18,2017-11,3
18,2017-12,1
20,2015-01,2
20,2015-02,1
20,2015-04,1
20,2015-05,1
20,2015-07,2
20,2015-09,1
20,2015-11,2
20,2015-12,2
20,2016-01,2
20,2016-02,1
20,2016-03,1
20,2016-05,1
20,2016-07,1
20,2016-09,1
20,2016-11,2
20,2016-12,4
20,2017-01,3
20,2017-02,1
20,2017-04,1
20,2017-05,1
20,2017-07,1
20,2017-09,1
20,2017-11,3
20,2017-12,5
21,2014-01,1
21,2014-04,1
21,2014-05,3
21,2014-06,1
21,2014-07,1
21,2014-08,1
21,2014-11,2
21,2014-12,1
21,2015-01,1
21,2015-04,1
21,2015-05,4
21,2015-07,1
21,2015-08,1
21,2015-11,2
21,2015-12,1
21,2016-01,1
21,2016-03,1
21,2016-05,4
21,2016-07,1
21,2016-08,1
21,2016-11,2
21,2016-12,1
21,2017-01,1
21,2017-04,1
21,2017-05,3
21,2017-06,1
21,2017-07,1
21,2017-08,1
21,2017-11,2
21,2017-12,1
22,2014-01,1
22,2014-04,1
22,2014-05,3
22,2014-06,1
22,2014-07,1
22,2014-08,1
22,2014-11,2
22,2014-12,1
22,2015-01,1
22,2015-04,1
22,2015-05,4
22,2015-07,1
22,2015-08,1
22,2015-11,2
22,2015-12,1
22,2016-01,1
22,2016-03,1
22,2016-05,4
22,2016-07,1
22,2016-08,1
22,2016-11,2
22,2016-12,1
22,2017-01,1
22,2017-04,1
22,2017-05,3
22,2017-06,1
22,2017-07,1
22,2017-08,1
22,2017-11,2
22,2017-12,1
23,2014-01,2
23,2014-04,2
23,2014-05,1
23,2014-06,1
23,2014-08,1
23,2014-11,1
23,2014-12,3
23,2015-01,2
23,2015-04,2
23,2015-05,1
23,2015-06,1
23,2015-08,1
23,2015-11,1
23,2015-12,3
23,2016-01,2
23,2016-03,1
23,2016-04,1
23,2016-05,1
23,2016-06,1
23,2016-08,1
23,2016-11,1
23,2016-12,3
25,2014-01,1
25,2014-04,1
25,2014-05,2
25,2014-06,1
25,2014-07,1
25,2014-08,1
25,2014-11,2
25,2014-12,1
25,2015-01,1
25,2015-04,1
25,2015-05,3
25,2015-07,1
25,2015-08,1
25,2015-11,2
25,2015-12,1
25,2016-01,1
25,2016-03,1
25,2016-05,3
25,2016-07,1
25,2016-08,1
25,2016-11,2
25,2016-12,1
25,2017-01,1
25,2017-04,1
25,2017-05,2
25,2017-06,1
25,2017-07,1
25,2017-08,1
25,2017-11,2
25,2017-12,1
26,2014-01,2
26,2014-04,2
26,2014-05,1
26,2014-06,1
26,2014-08,1
26,2014-11,1
26,2014-12,3
26,2015-01,2
26,2015-04,2
26,2015-05,1
26,2015-06,1
26,2015-08,1
26,2015-11,1
26,2015-12,3
26,2016-01,2
26,2016-03,1
26,2016-04,1
26,2016-05,1
26,2016-06,1
26,2016-08,1
26,2016-11,1
26,2016-12,3
26,2017-01,2
26,2017-04,2
26,2017-05,1
26,2017-06,1
26,2017-08,1
26,2017-11,1
26,2017-12,3
27,2014-01,2
27,2014-04,2
27,2014-05,1
27,2014-06,1
27,2014-08,1
27,2014-11,1
27,2014-12,3
27,2015-01,2
27,2015-04,2
27,2015-05,1
27,2015-06,1
27,2015-08,1
27,2015-11,1
27,2015-12,3
27,2016-01,2
27,2016-03,1
27,2016-04,1
27,2016-05,1
27,2016-06,1
27,2016-08,1
27,2016-11,1
27,2016-12,3
27,2017-01,2
27,2017-04,2
27,2017-05,1
27,2017-06,1
27,2017-08,1
27,2017-11,1
27,2017-12,3
29,2015-01,2
29,2015-04,3
29,2015-05,4
29,2015-08,1
29,2015-12,2
29,2016-01,2
29,2016-03,3
29,2016-05,4
29,2016-08,1
29,2016-12,2
29,2017-01,2
29,2017-04,3
29,2017-05,2
29,2017-06,2
29,2017-08,1
29,2017-12,2
32,2015-01,1
32,2015-04,1
32,2015-05,4
32,2015-07,1
32,2015-08,1
32,2015-11,2
32,2015-12,1
32,2016-01,1
32,2016-03,1
32,2016-05,4
32,2016-07,1
32,2016-08,1
32,2016-11,2
32,2016-12,1
32,2017-01,1
32,2017-04,1
32,2017-05,3
32,2017-06,1
32,2017-07,1
32,2017-08,1
32,2017-11,2
32,2017-12,1
33,2014-01,1
33,2014-04,1
33,2014-05,3
33,2014-06,1
33,2014-07,1
33,2014-08,1
33,2014-11,2
33,2014-12,1
33,2015-01,1
33,2015-04,1
33,2015-05,4
33,2015-07,1
33,2015-08,1
33,2015-11,2
33,2015-12,1
33,2016-01,1
33,2016-03,1
33,2016-05,4
33,2016-07,1
33,2016-08,1
33,2016-11,2
33,2016-12,1
33,2017-01,1
33,2017-04,1
33,2017-05,3
33,2017-06,1
33,2017-07,1
33,2017-08,1
33,2017-11,2
33,2017-12,1
34,2015-01,1
34,2015-04,1
34,2015-05,4
34,2015-07,1
34,2015-08,1
34,2015-11,2
34,2015-12,1
34,2016-01,1
34,2016-03,1
34,2016-05,4
34,2016-07,1
34,2016-08,1
34,2016-11,2
34,2016-12,1
34,2017-01,1
34,2017-04,1
34,2017-05,3
34,2017-06,1
34,2017-07,1
34,2017-08,1
34,2017-11,2
34,2017-12,1
39,2015-01,1
39,2015-04,1
39,2015-05,4
39,2015-07,1
39,2015-08,1
39,2015-11,2
39,2015-12,1
39,2016-01,1
39,2016-03,1
39,2016-05,4
39,2016-07,1
39,2016-08,1
39,2016-11,2
39,2016-12,1
39,2017-01,1
39,2017-04,1
39,2017-05,3
39,2017-06,1
39,2017-07,1
39,2017-08,1
39,2017-11,2
39,2017-12,1
40,2015-01,1
40,2015-04,1
40,2015-05,4
40,2015-07,1
40,2015-08,1
40,2015-11,2
40,2015-12,1
40,2016-01,1
40,2016-03,1
40,2016-05,4
40,2016-07,1
40,2016-08,1
40,2016-11,2
40,2016-12,1
40,2017-01,1
40,2017-04,1
40,2017-05,3
40,2017-06,1
40,2017-07,1
40,2017-08,1
40,2017-11,2
40,2017-12,1
42,2015-01,2
42,2015-04,2
42,2015-05,1
42,2015-06,1
42,2015-08,1
42,2015-11,1
42,2015-12,3
42,2016-01,2
42,2016-03,1
42,2016-04,1
42,2016-05,1
42,2016-06,1
42,2016-08,1
42,2016-11,1
42,2016-12,3
42,2017-01,2
42,2017-04,2
42,2017-05,1
42,2017-06,1
42,2017-08,1
42,2017-11,1
42,2017-12,3
43,2015-01,1
43,2015-02,1
43,2015-04,3
43,2015-05,1
43,2015-06,1
43,2015-08,1
43,2015-12,2
43,2016-01,1
43,2016-02,1
43,2016-03,2
43,2016-04,1
43,2016-05,1
43,2016-06,1
43,2016-08,1
43,2016-12,2
43,2017-01,1
43,2017-02,1
43,2017-04,3
43,2017-05,1
43,2017-06,1
43,2017-08,1
43,2017-12,2
44,2015-01,2
44,2015-04,2
44,2015-05,1
44,2015-06,1
44,2015-08,1
44,2015-11,1
44,2015-12,3
44,2016-01,2
44,2016-03,1
44,2016-04,1
44,2016-05,1
44,2016-06,1
44,2016-08,1
44,2016-11,1
44,2016-12,3
44,2017-01,2
44,2017-04,2
44,2017-05,1
44,2017-06,1
44,2017-08,1
44,2017-11,1
44,2017-12,3
45,2015-01,2
45,2015-04,2
45,2015-05,1
45,2015-06,1
45,2015-08,1
45,2015-11,1
45,2015-12,3
45,2016-01,2
45,2016-03,1
45,2016-04,1
45,2016-05,1
45,2016-06,1
45,2016-08,1
45,2016-11,1
45,2016-12,3
45,2017-01,2
45,2017-04,2
45,2017-05,1
45,2017-06,1
45,2017-08,1
45,2017-11,1
45,2017-12,3
46,2016-01,2
46,2016-03,1
46,2016-04,1
46,2016-05,1
46,2016-06,1
46,2016-08,1
46,2016-11,1
46,2016-12,3
46,2017-01,2
46,2017-04,2
46,2017-05,1
46,2017-06,1
46,2017-08,1
46,2017-11,1
46,2017-12,3
47,2015-01,2
47,2015-04,2
47,2015-05,1
47,2015-06,1
47,2015-08,1
47,2015-11,1
47,2015-12,3
47,2016-01,2
47,2016-03,1
47,2016-04,1
47,2016-05,1
47,2016-06,1
47,2016-08,1
47,2016-11,1
47,2016-12,3
47,2017-01,2
47,2017-04,2
47,2017-05,1
47,2017-06,1
47,2017-08,1
47,2017-11,1
47,2017-12,3
48,2015-01,2
48,2015-04,2
48,2015-05,1
48,2015-06,1
48,2015-08,1
48,2015-11,1
48,2015-12,3
48,2016-01,2
48,2016-03,1
48,2016-04,1
48,2016-05,1
48,2016-06,1
48,2016-08,1
48,2016-11,1
48,2016-12,3
48,2017-01,2
48,2017-04,2
48,2017-05,1
48,2017-06,1
48,2017-08,1
48,2017-11,1
48,2017-12,3
49,2015-01,2
49,2015-04,2
49,2015-05,1
49,2015-06,1
49,2015-08,1
49,2015-11,1
49,2015-12,3
49,2016-01,2
49,2016-03,1
49,2016-04,1
49,2016-05,1
49,2016-06,1
49,2016-08,1
49,2016-11,1
49,2016-12,3
49,2017-01,2
49,2017-04,2
49,2017-05,1
49,2017-06,1
49,2017-08,1
49,2017-11,1
49,2017-12,3
50,2015-01,2
50,2015-04,2
50,2015-05,1
50,2015-06,1
50,2015-08,1
50,2015-11,1
50,2015-12,3
50,2016-01,2
50,2016-03,1
50,2016-04,1
50,2016-05,1
50,2016-06,1
50,2016-08,1
50,2016-11,1
50,2016-12,3
50,2017-01,2
50,2017-04,2
50,2017-05,1
50,2017-06,1
50,2017-08,1
50,2017-11,1
50,2017-12,3
51,2015-01,2
51,2015-04,2
51,2015-05,1
51,2015-06,1
51,2015-08,1
51,2015-11,1
51,2015-12,3
51,2016-01,2
51,2016-03,1
51,2016-04,1
51,2016-05,1
51,2016-06,1
51,2016-08,1
51,2016-11,1
51,2016-12,3
51,2017-01,2
51,2017-04,2
51,2017-05,1
51,2017-06,1
51,2017-08,1
51,2017-11,1
51,2017-12,3
52,2016-01,2
52,2016-03,1
52,2016-04,1
52,2016-05,1
52,2016-06,1
52,2016-08,1
52,2016-11,1
52,2016-12,3
52,2017-01,2
52,2017-04,2
52,2017-05,1
52,2017-06,1
52,2017-08,1
52,2017-11,1
52,2017-12,3
53,2016-01,2
53,2016-03,1
53,2016-04,1
53,2016-05,1
53,2016-06,1
53,2016-08,1
53,2016-11,1
53,2016-12,3
53,2017-01,2
53,2017-04,2
53,2017-05,1
53,2017-06,1
53,2017-08,1
53,2017-11,1
53,2017-12,3
54,2015-01,2
54,2015-04,2
54,2015-05,1
54,2015-06,1
54,2015-08,1
54,2015-11,1
54,2015-12,3
54,2016-01,2
54,2016-03,1
54,2016-04,1
54,2016-05,1
54,2016-06,1
54,2016-08,1
54,2016-11,1
54,2016-12,3
54,2017-01,2
54,2017-04,2
54,2017-05,1
54,2017-06,1
54,2017-08,1
54,2017-11,1
54,2017-12,3
57,2015-01,2
57,2015-04,2
57,2015-05,1
57,2015-06,1
57,2015-08,1
57,2015-11,1
57,2015-12,3
57,2016-01,2
57,2016-03,1
57,2016-04,1
57,2016-05,1
57,2016-06,1
57,2016-08,1
57,2016-11,1
57,2016-12,3
57,2017-01,2
57,2017-04,2
57,2017-05,1
57,2017-06,1
57,2017-08,1
57,2017-11,1
57,2017-12,3
58,2015-01,2
58,2015-04,2
58,2015-05,1
58,2015-06,1
58,2015-08,1
58,2015-11,1
58,2015-12,3
58,2016-01,2
58,2016-03,1
58,2016-04,1
58,2016-05,1
58,2016-06,1
58,2016-08,1
58,2016-11,1
58,2016-12,3
58,2017-01,2
58,2017-04,2
58,2017-05,1
58,2017-06,1
58,2017-08,1
58,2017-11,1
58,2017-12,3
59,2016-01,2
59,2016-03,1
59,2016-04,1
59,2016-05,1
59,2016-06,1
59,2016-08,1
59,2016-11,1
59,2016-12,3
59,2017-01,2
59,2017-04,2
59,2017-05,1
59,2017-06,1
59,2017-08,1
59,2017-11,1
59,2017-12,3
60,2015-01,2
60,2015-04,2
60,2015-05,1
60,2015-06,1
60,2015-08,1
60,2015-11,1
60,2015-12,3
60,2016-01,2
60,2016-03,1
60,2016-04,1
60,2016-05,1
60,2016-06,1
60,2016-08,1
60,2016-11,1
60,2016-12,3
60,2017-01,2
60,2017-04,2
60,2017-05,1
60,2017-06,1
60,2017-08,1
60,2017-11,1
60,2017-12,3
61,2015-01,2
61,2015-04,2
61,2015-05,1
61,2015-06,1
61,2015-08,1
61,2015-11,1
61,2015-12,3
61,2016-01,2
61,2016-03,1
61,2016-04,1
61,2016-05,1
61,2016-06,1
61,2016-08,1
61,2016-11,1
61,2016-12,3
61,2017-01,2
61,2017-04,2
61,2017-05,1
61,2017-06,1
61,2017-08,1
61,2017-11,1
61,2017-12,3
62,2015-01,2
62,2015-04,2
62,2015-05,1
62,2015-06,1
62,2015-08,1
62,2015-11,1
62,2015-12,3
62,2016-01,2
62,2016-03,1
62,2016-04,1
62,2016-05,1
62,2016-06,1
62,2016-08,1
62,2016-11,1
62,2016-12,3
62,2017-01,2
62,2017-04,2
62,2017-05,1
62,2017-06,1
62,2017-08,1
62,2017-11,1
62,2017-12,3
63,2015-01,2
63,2015-04,2
63,2015-05,1
63,2015-06,1
63,2015-08,1
63,2015-11,1
63,2015-12,3
63,2016-01,2
63,2016-03,1
63,2016-04,1
63,2016-05,1
63,2016-06,1
63,2016-08,1
63,2016-11,1
63,2016-12,3
63,2017-01,2
63,2017-04,2
63,2017-05,1
63,2017-06,1
63,2017-08,1
63,2017-11,1
63,2017-12,3
64,2016-01,2
64,2016-03,1
64,2016-04,1
64,2016-05,1
64,2016-06,1
64,2016-08,1
64,2016-11,1
64,2016-12,3
64,2017-01,2
64,2017-04,2
64,2017-05,1
64,2017-06,1
64,2017-08,1
64,2017-11,1
64,2017-12,3
65,2015-01,2
65,2015-04,2
65,2015-05,1
65,2015-06,1
65,2015-08,1
65,2015-11,1
65,2015-12,3
65,2016-01,2
65,2016-03,1
65,2016-04,1
65,2016-05,1
65,2016-06,1
65,2016-08,1
65,2016-11,1
65,2016-12,3
65,2017-01,2
65,2017-04,2
65,2017-05,1
65,2017-06,1
65,2017-08,1
65,2017-11,1
65,2017-12,3
66,2015-01,2
66,2015-04,2
66,2015-05,1
66,2015-06,1
66,2015-08,1
66,2015-11,1
66,2015-12,3
66,2016-01,2
66,2016-03,1
66,2016-04,1
66,2016-05,1
66,2016-06,1
66,2016-08,1
66,2016-11,1
66,2016-12,3
66,2017-01,2
66,2017-04,2
66,2017-05,1
66,2017-06,1
66,2017-08,1
66,2017-11,1
66,2017-12,3
67,2016-01,2
67,2016-03,1
67,2016-04,1
67,2016-05,1
67,2016-06,1
67,2016-08,1
67,2016-11,1
67,2016-12,3
67,2017-01,2
67,2017-04,2
67,2017-05,1
67,2017-06,1
67,2017-08,1
67,2017-11,1
67,2017-12,3
68,2015-01,2
68,2015-04,2
68,2015-05,1
68,2015-06,1
68,2015-08,1
68,2015-11,1
68,2015-12,3
68,2016-01,2
68,2016-03,1
68,2016-04,1
68,2016-05,1
68,2016-06,1
68,2016-08,1
68,2016-11,1
68,2016-12,3
68,2017-01,2
68,2017-04,2
68,2017-05,1
68,2017-06,1
68,2017-08,1
68,2017-11,1
68,2017-12,3
69,2016-01,2
69,2016-03,1
69,2016-04,1
69,2016-05,1
69,2016-06,1
69,2016-08,1
69,2016-11,1
69,2016-12,3
69,2017-01,2
69,2017-04,2
69,2017-05,1
69,2017-06,1
69,2017-08,1
69,2017-11,1
69,2017-12,3
70,2016-01,1
70,2016-03,1
70,2016-05,4
70,2016-07,1
70,2016-08,1
70,2016-11,2
70,2016-12,1
70,2017-01,1
70,2017-04,1
70,2017-05,3
70,2017-06,1
70,2017-07,1
70,2017-08,1
70,2017-11,2
70,2017-12,1
72,2015-01,2
72,2015-04,2
72,2015-05,1
72,2015-06,1
72,2015-08,1
72,2015-11,1
72,2015-12,3
72,2016-01,2
72,2016-03,1
72,2016-04,1
72,2016-05,1
72,2016-06,1
72,2016-08,1
72,2016-11,1
72,2016-12,3
72,2017-01,2
72,2017-04,2
72,2017-05,1
72,2017-06,1
72,2017-08,1
72,2017-11,1
72,2017-12,3
73,2015-01,2
73,2015-04,2
73,2015-05,1
73,2015-06,1
73,2015-08,1
73,2015-11,1
73,2015-12,3
73,2016-01,2
73,2016-03,1
73,2016-04,1
73,2016-05,1
73,2016-06,1
73,2016-08,1
73,2016-11,1
73,2016-12,3
73,2017-01,2
73,2017-04,2
73,2017-05,1
73,2017-06,1
73,2017-08,1
73,2017-11,1
73,2017-12,3
74,2015-01,2
74,2015-04,2
74,2015-05,1
74,2015-06,1
74,2015-08,1
74,2015-11,1
74,2015-12,3
74,2016-01,2
74,2016-03,1
74,2016-04,1
74,2016-05,1
74,2016-06,1
74,2016-08,1
74,2016-11,1
74,2016-12,3
74,2017-01,2
74,2017-04,2
74,2017-05,1
74,2017-06,1
74,2017-08,1
74,2017-11,1
74,2017-12,3
75,2016-01,2
75,2016-03,1
75,2016-04,1
75,2016-05,1
75,2016-06,1
75,2016-08,1
75,2016-11,1
75,2016-12,3
75,2017-01,2
75,2017-04,2
75,2017-05,1
75,2017-06,1
75,2017-08,1
75,2017-11,1
75,2017-12,3
76,2015-01,2
76,2015-04,2
76,2015-05,1
76,2015-06,1
76,2015-08,1
76,2015-11,1
76,2015-12,3
76,2016-01,2
76,2016-03,1
76,2016-04,1
76,2016-05,1
76,2016-06,1
76,2016-08,1
76,2016-11,1
76,2016-12,3
76,2017-01,2
76,2017-04,2
76,2017-05,1
76,2017-06,1
76,2017-08,1
76,2017-11,1
76,2017-12,3
77,2014-01,1
77,2014-03,1
77,2014-04,3
77,2014-05,1
77,2014-06,1
77,2014-08,1
77,2014-12,2
77,2015-01,1
77,2015-02,1
77,2015-04,3
77,2015-05,1
77,2015-06,1
77,2015-08,1
77,2015-12,2
77,2016-01,1
77,2016-02,1
77,2016-03,2
77,2016-04,1
77,2016-05,1
77,2016-06,1
77,2016-08,1
77,2016-12,2
78,2014-01,1
78,2014-03,1
78,2014-04,3
78,2014-05,1
78,2014-06,1
78,2014-08,1
78,2014-12,2
78,2015-01,1
78,2015-02,1
78,2015-04,3
78,2015-05,1
78,2015-06,1
78,2015-08,1
78,2015-12,2
78,2016-01,1
78,2016-02,1
78,2016-03,2
78,2016-04,1
78,2016-05,1
78,2016-06,1
78,2016-08,1
78,2016-12,2
83,2015-01,2
83,2015-04,2
83,2015-05,1
83,2015-06,1
83,2015-08,1
83,2015-11,1
83,2015-12,3
83,2016-01,2
83,2016-03,1
83,2016-04,1
83,2016-05,1
83,2016-06,1
83,2016-08,1
83,2016-11,1
83,2016-12,3
83,2017-01,2
83,2017-04,2
83,2017-05,1
83,2017-06,1
83,2017-08,1
83,2017-11,1
83,2017-12,3
84,2015-01,2
84,2015-04,2
84,2015-05,1
84,2015-06,1
84,2015-08,1
84,2015-11,1
84,2015-12,3
84,2016-01,2
84,2016-03,1
84,2016-04,1
84,2016-05,1
84,2016-06,1
84,2016-08,1
84,2016-11,1
84,2016-12,3
84,2017-01,2
84,2017-04,2
84,2017-05,1
84,2017-06,1
84,2017-08,1
84,2017-11,1
84,2017-12,3
85,2015-01,2
85,2015-04,2
85,2015-05,1
85,2015-06,1
85,2015-08,1
85,2015-11,1
85,2015-12,3
85,2016-01,2
85,2016-03,1
85,2016-04,1
85,2016-05,1
85,2016-06,1
85,2016-08,1
85,2016-11,1
85,2016-12,3
85,2017-01,2
85,2017-04,2
85,2017-05,1
85,2017-06,1
85,2017-08,1
85,2017-11,1
85,2017-12,3
86,2014-01,2
86,2014-04,2
86,2014-05,1
86,2014-06,1
86,2014-08,1
86,2014-11,1
86,2014-12,3
86,2015-01,2
86,2015-04,2
86,2015-05,1
86,2015-06,1
86,2015-08,1
86,2015-11,1
86,2015-12,3
86,2016-01,2
86,2016-03,1
86,2016-04,1
86,2016-05,1
86,2016-06,1
86,2016-08,1
86,2016-11,1
86,2016-12,3
86,2017-01,2
86,2017-04,2
86,2017-05,1
86,2017-06,1
86,2017-08,1
86,2017-11,1
86,2017-12,3
87,2014-01,2
87,2014-04,2
87,2014-05,1
87,2014-06,1
87,2014-08,1
87,2014-11,1
87,2014-12,3
87,2015-01,2
87,2015-04,2
87,2015-05,1
87,2015-06,1
